Simulation_Number,T0,T1,Percentage_Change,Class
155,1,1.004299335,0.0043,Volatility
156,1,0.998481683,-0.0015,Volatility
157,1,0.998827214,-0.0012,Volatility
158,1,1.008524709,0.0085,Volatility
159,1,0.994376259,-0.0056,Volatility
160,1,0.997937987,-0.0021,Volatility
161,1,1.001764916,0.0018,Volatility
162,1,1.008099776,0.0081,Volatility
163,1,0.998082053,-0.0019,Volatility
164,1,0.997354802,-0.0026,Volatility
165,1,1.020338668,0.0203,Volatility
166,1,0.993757587,-0.0062,Volatility
167,1,0.985829741,-0.0142,Volatility
168,1,1.014813165,0.0148,Volatility
169,1,0.993737609,-0.0063,Volatility
170,1,0.996900414,-0.0031,Volatility
171,1,0.993822151,-0.0062,Volatility
172,1,0.992107346,-0.0079,Volatility
173,1,1.003573698,0.0036,Volatility
174,1,1.011712306,0.0117,Volatility
175,1,1.000697357,0.0007,Volatility
176,1,1.015465589,0.0155,Volatility
177,1,1.004876656,0.0049,Volatility
178,1,1.002198464,0.0022,Volatility
179,1,1.004076208,0.0041,Volatility
180,1,0.981191846,-0.0188,Volatility
181,1,0.998932238,-0.0011,Volatility
182,1,0.998304631,-0.0017,Volatility
183,1,1.008393658,0.0084,Volatility
184,1,1.000233691,0.0002,Volatility
185,1,1.007748467,0.0077,Volatility
186,1,0.987395042,-0.0126,Volatility
187,1,0.983691683,-0.0163,Volatility
188,1,1.014453109,0.0145,Volatility
189,1,1.009960176,0.01,Volatility
190,1,1.001425904,0.0014,Volatility
191,1,1.009238296,0.0092,Volatility
192,1,0.994796599,-0.0052,Volatility
193,1,1.028731974,0.0287,Volatility
194,1,1.007271717,0.0073,Volatility
195,1,1.024110109,0.0241,Volatility
196,1,0.995816929,-0.0042,Volatility
197,1,0.995195649,-0.0048,Volatility
198,1,1.005116303,0.0051,Volatility
199,1,0.993925025,-0.0061,Volatility
200,1,1.013796739,0.0138,Volatility
201,1,1.012872956,0.0129,Volatility
202,1,0.992964397,-0.007,Volatility
203,1,0.997923309,-0.0021,Volatility
204,1,0.98771543,-0.0123,Volatility
205,1,0.989693118,-0.0103,Volatility
206,1,1.001926074,0.0019,Volatility
207,1,1.000651369,0.0007,Volatility
208,1,1.018041415,0.018,Volatility
209,1,1.003280047,0.0033,Volatility
210,1,1.011260377,0.0113,Volatility
211,1,0.983362421,-0.0166,Volatility
212,1,1.003686027,0.0037,Volatility
213,1,0.994278061,-0.0057,Volatility
214,1,1.011103369,0.0111,Volatility
215,1,0.998264471,-0.0017,Volatility
216,1,0.993242746,-0.0068,Volatility
217,1,1.008791697,0.0088,Volatility
218,1,1.002002795,0.002,Volatility
219,1,1.002097334,0.0021,Volatility
220,1,1.005772769,0.0058,Volatility
221,1,1.010813116,0.0108,Volatility
222,1,0.999550916,-0.0004,Volatility
223,1,0.997675297,-0.0023,Volatility
224,1,1.003072484,0.0031,Volatility
225,1,0.997960139,-0.002,Volatility
226,1,1.010979022,0.011,Volatility
227,1,1.017553528,0.0176,Volatility
228,1,0.987759048,-0.0122,Volatility
229,1,1.021210303,0.0212,Volatility
230,1,0.998201797,-0.0018,Volatility
