Date,Trading_Hrs_Return,Total_Return,Difference,Class_,New_Date
21/05/2020,0.9183,1.2638,0.3455,American_Airlines,2020-05-21
22/05/2020,-1.9546,2.8954,4.8499,American_Airlines,2020-05-22
26/05/2020,8.8989,20.8131,11.9142,American_Airlines,2020-05-26
27/05/2020,-3.1046,-5.8068,-2.7022,American_Airlines,2020-05-27
28/05/2020,-5.5536,-10.6924,-5.1387,American_Airlines,2020-05-28
29/05/2020,1.5882,2.7974,1.2092,American_Airlines,2020-05-29
01/06/2020,4.0111,6.3342,2.323,American_Airlines,2020-06-01
02/06/2020,-1.2495,1.4499,2.6994,American_Airlines,2020-06-02
03/06/2020,2.8957,9.4102,6.5146,American_Airlines,2020-06-03
04/06/2020,33.244,67.1624,33.9184,American_Airlines,2020-06-04
05/06/2020,-11.6803,-6.548,5.1322,American_Airlines,2020-06-05
08/06/2020,3.5133,-8.9311,-12.4444,American_Airlines,2020-06-08
09/06/2020,3.5028,-2.5167,-6.0195,American_Airlines,2020-06-09
10/06/2020,-2.5073,-18.1173,-15.6101,American_Airlines,2020-06-10
11/06/2020,0.895,16.2497,15.3547,American_Airlines,2020-06-11
12/06/2020,0.6448,-9.1261,-9.7709,American_Airlines,2020-06-12
15/06/2020,10.5269,19.8032,9.2763,American_Airlines,2020-06-15
16/06/2020,-5.9236,-8.3279,-2.4043,American_Airlines,2020-06-16
17/06/2020,2.4297,-2.2278,-4.6575,American_Airlines,2020-06-17
18/06/2020,1.6793,3.1765,1.4972,American_Airlines,2020-06-18
19/06/2020,-4.3819,-11.7821,-7.4002,American_Airlines,2020-06-19
22/06/2020,1.0339,-7.651,-8.6849,American_Airlines,2020-06-22
23/06/2020,2.9532,-1.2355,-4.1887,American_Airlines,2020-06-23
24/06/2020,-3.0876,-7.7999,-4.7123,American_Airlines,2020-06-24
25/06/2020,5.9976,5.3472,-0.6504,American_Airlines,2020-06-25
26/06/2020,-5.4655,-4.7727,0.6928,American_Airlines,2020-06-26
